"Step","test-model_132024 - Loss","test-model_132024 - Loss__MIN","test-model_132024 - Loss__MAX"
"0","0.16156768798828125","0.16156768798828125","0.16156768798828125"
"2","0.14398193359375","0.14398193359375","0.14398193359375"
"6","0.16413116455078125","0.16413116455078125","0.16413116455078125"
"8","0.15287399291992188","0.15287399291992188","0.15287399291992188"
"10","0.160491943359375","0.160491943359375","0.160491943359375"
"14","0.11832427978515625","0.11832427978515625","0.11832427978515625"
"16","0.14956283569335938","0.14956283569335938","0.14956283569335938"
"18","0.14235687255859375","0.14235687255859375","0.14235687255859375"
"20","0.15344619750976562","0.15344619750976562","0.15344619750976562"
"22","0.14619064331054688","0.14619064331054688","0.14619064331054688"
"24","0.1757965087890625","0.1757965087890625","0.1757965087890625"
"28","0.11818313598632812","0.11818313598632812","0.11818313598632812"
"30","0.12433624267578125","0.12433624267578125","0.12433624267578125"
"32","0.17548370361328125","0.17548370361328125","0.17548370361328125"
"34","0.12757492065429688","0.12757492065429688","0.12757492065429688"
"36","0.14122390747070312","0.14122390747070312","0.14122390747070312"
"38","0.13170623779296875","0.13170623779296875","0.13170623779296875"
"40","0.21441650390625","0.21441650390625","0.21441650390625"
"42","0.137176513671875","0.137176513671875","0.137176513671875"
"44","0.1461181640625","0.1461181640625","0.1461181640625"
"50","0.16965484619140625","0.16965484619140625","0.16965484619140625"
"52","0.1271820068359375","0.1271820068359375","0.1271820068359375"
"54","0.1940460205078125","0.1940460205078125","0.1940460205078125"
"56","0.1534271240234375","0.1534271240234375","0.1534271240234375"
"58","0.10561180114746094","0.10561180114746094","0.10561180114746094"
"60","0.182037353515625","0.182037353515625","0.182037353515625"
"62","0.11208343505859375","0.11208343505859375","0.11208343505859375"
"64","0.14111328125","0.14111328125","0.14111328125"
"66","0.1927032470703125","0.1927032470703125","0.1927032470703125"
"68","0.1588897705078125","0.1588897705078125","0.1588897705078125"
"70","0.1417694091796875","0.1417694091796875","0.1417694091796875"
"72","0.1124420166015625","0.1124420166015625","0.1124420166015625"
"76","0.11749649047851562","0.11749649047851562","0.11749649047851562"
"78","0.1650543212890625","0.1650543212890625","0.1650543212890625"
"80","0.12837982177734375","0.12837982177734375","0.12837982177734375"
"82","0.12801361083984375","0.12801361083984375","0.12801361083984375"
"84","0.11754226684570312","0.11754226684570312","0.11754226684570312"
"86","0.15328216552734375","0.15328216552734375","0.15328216552734375"
"88","0.1316680908203125","0.1316680908203125","0.1316680908203125"
"90","0.12421417236328125","0.12421417236328125","0.12421417236328125"
"92","0.1446990966796875","0.1446990966796875","0.1446990966796875"
"94","0.15702056884765625","0.15702056884765625","0.15702056884765625"
"96","0.14617919921875","0.14617919921875","0.14617919921875"
"100","0.2035675048828125","0.2035675048828125","0.2035675048828125"
"102","0.1368560791015625","0.1368560791015625","0.1368560791015625"
"104","0.183258056640625","0.183258056640625","0.183258056640625"
"106","0.15691375732421875","0.15691375732421875","0.15691375732421875"
"108","0.1275482177734375","0.1275482177734375","0.1275482177734375"
"110","0.15261077880859375","0.15261077880859375","0.15261077880859375"
"112","0.1382598876953125","0.1382598876953125","0.1382598876953125"
"114","0.1497955322265625","0.1497955322265625","0.1497955322265625"
"116","0.17906951904296875","0.17906951904296875","0.17906951904296875"
"118","0.13404083251953125","0.13404083251953125","0.13404083251953125"
"120","0.10755157470703125","0.10755157470703125","0.10755157470703125"
"124","0.16486358642578125","0.16486358642578125","0.16486358642578125"
"126","0.1427764892578125","0.1427764892578125","0.1427764892578125"
"128","0.1464691162109375","0.1464691162109375","0.1464691162109375"
"130","0.1801605224609375","0.1801605224609375","0.1801605224609375"
"132","0.1732025146484375","0.1732025146484375","0.1732025146484375"
"134","0.1607666015625","0.1607666015625","0.1607666015625"
"136","0.12932586669921875","0.12932586669921875","0.12932586669921875"
"138","0.15210723876953125","0.15210723876953125","0.15210723876953125"
"140","0.14696121215820312","0.14696121215820312","0.14696121215820312"
"142","0.19045257568359375","0.19045257568359375","0.19045257568359375"
"144","0.1237030029296875","0.1237030029296875","0.1237030029296875"
"146","0.1450958251953125","0.1450958251953125","0.1450958251953125"
"148","0.1691741943359375","0.1691741943359375","0.1691741943359375"
"150","0.13831710815429688","0.13831710815429688","0.13831710815429688"
"152","0.1636962890625","0.1636962890625","0.1636962890625"
"154","0.15442276000976562","0.15442276000976562","0.15442276000976562"
"158","0.16437530517578125","0.16437530517578125","0.16437530517578125"
"162","0.15587615966796875","0.15587615966796875","0.15587615966796875"
"164","0.152435302734375","0.152435302734375","0.152435302734375"
"166","0.13637924194335938","0.13637924194335938","0.13637924194335938"
"168","0.12258148193359375","0.12258148193359375","0.12258148193359375"
"170","0.15932464599609375","0.15932464599609375","0.15932464599609375"
"172","0.13376617431640625","0.13376617431640625","0.13376617431640625"
"174","0.160430908203125","0.160430908203125","0.160430908203125"
"176","0.15518951416015625","0.15518951416015625","0.15518951416015625"
"178","0.1702728271484375","0.1702728271484375","0.1702728271484375"
"180","0.1193695068359375","0.1193695068359375","0.1193695068359375"
