"Step","test-model_251519 - Val Accuracy Validación","test-model_251519 - Val Accuracy Validación__MIN","test-model_251519 - Val Accuracy Validación__MAX"
"494","0.37532133676092544","0.37532133676092544","0.37532133676092544"
"1485","0.38817480719794345","0.38817480719794345","0.38817480719794345"
"2476","0.4087403598971722","0.4087403598971722","0.4087403598971722"
"3467","0.6786632390745502","0.6786632390745502","0.6786632390745502"
"4458","0.6966580976863753","0.6966580976863753","0.6966580976863753"
"5449","0.7506426735218509","0.7506426735218509","0.7506426735218509"
"6440","0.7583547557840618","0.7583547557840618","0.7583547557840618"
"7431","0.7660668380462725","0.7660668380462725","0.7660668380462725"
"8422","0.7609254498714653","0.7609254498714653","0.7609254498714653"
"9413","0.7840616966580977","0.7840616966580977","0.7840616966580977"
"10404","0.7789203084832905","0.7789203084832905","0.7789203084832905"
"11395","0.8123393316195373","0.8123393316195373","0.8123393316195373"
"12386","0.7789203084832905","0.7789203084832905","0.7789203084832905"
"13377","0.7969151670951157","0.7969151670951157","0.7969151670951157"
"14368","0.781491002570694","0.781491002570694","0.781491002570694"
"15359","0.7994858611825193","0.7994858611825193","0.7994858611825193"
"16350","0.7763496143958869","0.7763496143958869","0.7763496143958869"
"17341","0.7789203084832905","0.7789203084832905","0.7789203084832905"
"18332","0.7969151670951157","0.7969151670951157","0.7969151670951157"
"19323","0.7994858611825193","0.7994858611825193","0.7994858611825193"
"20314","0.7737789203084833","0.7737789203084833","0.7737789203084833"
"21305","0.7789203084832905","0.7789203084832905","0.7789203084832905"
"22296","0.8097686375321337","0.8097686375321337","0.8097686375321337"
"23287","0.8071979434447301","0.8071979434447301","0.8071979434447301"
"24278","0.8046272493573264","0.8046272493573264","0.8046272493573264"
"25269","0.7712082262210797","0.7712082262210797","0.7712082262210797"
"26260","0.7969151670951157","0.7969151670951157","0.7969151670951157"
"27251","0.7840616966580977","0.7840616966580977","0.7840616966580977"
"28242","0.781491002570694","0.781491002570694","0.781491002570694"
"29233","0.7840616966580977","0.7840616966580977","0.7840616966580977"
"30224","0.7917737789203085","0.7917737789203085","0.7917737789203085"
"31215","0.8149100257069408","0.8149100257069408","0.8149100257069408"
"32206","0.8226221079691517","0.8226221079691517","0.8226221079691517"
"33197","0.8149100257069408","0.8149100257069408","0.8149100257069408"
"34188","0.8123393316195373","0.8123393316195373","0.8123393316195373"
"35179","0.8149100257069408","0.8149100257069408","0.8149100257069408"
"36170","0.8071979434447301","0.8071979434447301","0.8071979434447301"
"37161","0.8020565552699229","0.8020565552699229","0.8020565552699229"
"38152","0.794344473007712","0.794344473007712","0.794344473007712"
"39143","0.8149100257069408","0.8149100257069408","0.8149100257069408"
"40134","0.8123393316195373","0.8123393316195373","0.8123393316195373"
"41125","0.8020565552699229","0.8020565552699229","0.8020565552699229"
"42116","0.8020565552699229","0.8020565552699229","0.8020565552699229"
"43107","0.8097686375321337","0.8097686375321337","0.8097686375321337"
"44098","0.7969151670951157","0.7969151670951157","0.7969151670951157"
"45089","0.794344473007712","0.794344473007712","0.794344473007712"
"46080","0.8020565552699229","0.8020565552699229","0.8020565552699229"
"47071","0.8071979434447301","0.8071979434447301","0.8071979434447301"
"48062","0.7994858611825193","0.7994858611825193","0.7994858611825193"
"49053","0.7994858611825193","0.7994858611825193","0.7994858611825193"
"49550","0.794344473007712","0.794344473007712","0.794344473007712"
