"Step","test-model_141931 - Loss","test-model_141931 - Loss__MIN","test-model_141931 - Loss__MAX"
"0","0.09731101989746094","0.09731101989746094","0.09731101989746094"
"2","0.13092041015625","0.13092041015625","0.13092041015625"
"4","0.12142562866210938","0.12142562866210938","0.12142562866210938"
"6","0.15837860107421875","0.15837860107421875","0.15837860107421875"
"8","0.1184844970703125","0.1184844970703125","0.1184844970703125"
"10","0.1537322998046875","0.1537322998046875","0.1537322998046875"
"12","0.15819931030273438","0.15819931030273438","0.15819931030273438"
"14","0.1568756103515625","0.1568756103515625","0.1568756103515625"
"16","0.10791397094726562","0.10791397094726562","0.10791397094726562"
"18","0.1654052734375","0.1654052734375","0.1654052734375"
"20","0.2006988525390625","0.2006988525390625","0.2006988525390625"
"22","0.11126708984375","0.11126708984375","0.11126708984375"
"24","0.163604736328125","0.163604736328125","0.163604736328125"
"26","0.14493560791015625","0.14493560791015625","0.14493560791015625"
"28","0.09830474853515625","0.09830474853515625","0.09830474853515625"
"30","0.15985488891601562","0.15985488891601562","0.15985488891601562"
"32","0.143096923828125","0.143096923828125","0.143096923828125"
"34","0.15955352783203125","0.15955352783203125","0.15955352783203125"
"36","0.134246826171875","0.134246826171875","0.134246826171875"
"38","0.16698455810546875","0.16698455810546875","0.16698455810546875"
"40","0.1648712158203125","0.1648712158203125","0.1648712158203125"
"42","0.16147613525390625","0.16147613525390625","0.16147613525390625"
"44","0.1545867919921875","0.1545867919921875","0.1545867919921875"
"46","0.1535186767578125","0.1535186767578125","0.1535186767578125"
"48","0.19367218017578125","0.19367218017578125","0.19367218017578125"
"50","0.13878631591796875","0.13878631591796875","0.13878631591796875"
"52","0.1690826416015625","0.1690826416015625","0.1690826416015625"
"54","0.09593963623046875","0.09593963623046875","0.09593963623046875"
"56","0.14699172973632812","0.14699172973632812","0.14699172973632812"
"58","0.14522552490234375","0.14522552490234375","0.14522552490234375"
"60","0.15820693969726562","0.15820693969726562","0.15820693969726562"
"62","0.13896560668945312","0.13896560668945312","0.13896560668945312"
"64","0.139923095703125","0.139923095703125","0.139923095703125"
"66","0.14633941650390625","0.14633941650390625","0.14633941650390625"
"68","0.1308135986328125","0.1308135986328125","0.1308135986328125"
"70","0.16394805908203125","0.16394805908203125","0.16394805908203125"
"72","0.17236709594726562","0.17236709594726562","0.17236709594726562"
"74","0.1680908203125","0.1680908203125","0.1680908203125"
"76","0.17379379272460938","0.17379379272460938","0.17379379272460938"
"78","0.12944412231445312","0.12944412231445312","0.12944412231445312"
"80","0.10736083984375","0.10736083984375","0.10736083984375"
"82","0.17864227294921875","0.17864227294921875","0.17864227294921875"
"84","0.16010284423828125","0.16010284423828125","0.16010284423828125"
"86","0.1588592529296875","0.1588592529296875","0.1588592529296875"
"88","0.17604446411132812","0.17604446411132812","0.17604446411132812"
"90","0.11470985412597656","0.11470985412597656","0.11470985412597656"
"92","0.1927032470703125","0.1927032470703125","0.1927032470703125"
"94","0.12256622314453125","0.12256622314453125","0.12256622314453125"
"96","0.09695816040039062","0.09695816040039062","0.09695816040039062"
"98","0.2047119140625","0.2047119140625","0.2047119140625"
"100","0.15018844604492188","0.15018844604492188","0.15018844604492188"
"102","0.11721038818359375","0.11721038818359375","0.11721038818359375"
"104","0.13388442993164062","0.13388442993164062","0.13388442993164062"
"106","0.19207000732421875","0.19207000732421875","0.19207000732421875"
"108","0.15833282470703125","0.15833282470703125","0.15833282470703125"
"110","0.191986083984375","0.191986083984375","0.191986083984375"
"112","0.1434173583984375","0.1434173583984375","0.1434173583984375"
"114","0.10445022583007812","0.10445022583007812","0.10445022583007812"
"116","0.09841156005859375","0.09841156005859375","0.09841156005859375"
"118","0.1274261474609375","0.1274261474609375","0.1274261474609375"
"120","0.16503524780273438","0.16503524780273438","0.16503524780273438"
"122","0.1531219482421875","0.1531219482421875","0.1531219482421875"
"124","0.1462860107421875","0.1462860107421875","0.1462860107421875"
"126","0.13098526000976562","0.13098526000976562","0.13098526000976562"
"128","0.18222808837890625","0.18222808837890625","0.18222808837890625"
"130","0.13550567626953125","0.13550567626953125","0.13550567626953125"
"132","0.12179374694824219","0.12179374694824219","0.12179374694824219"
"134","0.1303997039794922","0.1303997039794922","0.1303997039794922"
"136","0.131866455078125","0.131866455078125","0.131866455078125"
"138","0.14249801635742188","0.14249801635742188","0.14249801635742188"
"140","0.15519332885742188","0.15519332885742188","0.15519332885742188"
"142","0.14184951782226562","0.14184951782226562","0.14184951782226562"
"144","0.12908172607421875","0.12908172607421875","0.12908172607421875"
"146","0.12445449829101562","0.12445449829101562","0.12445449829101562"
"148","0.1386260986328125","0.1386260986328125","0.1386260986328125"
"150","0.12195587158203125","0.12195587158203125","0.12195587158203125"
"152","0.1110076904296875","0.1110076904296875","0.1110076904296875"
"154","0.17081451416015625","0.17081451416015625","0.17081451416015625"
"156","0.15822219848632812","0.15822219848632812","0.15822219848632812"
"158","0.1907958984375","0.1907958984375","0.1907958984375"
"160","0.14337921142578125","0.14337921142578125","0.14337921142578125"
"162","0.16097259521484375","0.16097259521484375","0.16097259521484375"
"164","0.10823822021484375","0.10823822021484375","0.10823822021484375"
"166","0.12814712524414062","0.12814712524414062","0.12814712524414062"
"168","0.15888214111328125","0.15888214111328125","0.15888214111328125"
"170","0.16757965087890625","0.16757965087890625","0.16757965087890625"
"172","0.12947845458984375","0.12947845458984375","0.12947845458984375"
"174","0.12943267822265625","0.12943267822265625","0.12943267822265625"
"176","0.146270751953125","0.146270751953125","0.146270751953125"
"178","0.14381790161132812","0.14381790161132812","0.14381790161132812"
"180","0.13848495483398438","0.13848495483398438","0.13848495483398438"
"182","0.15756988525390625","0.15756988525390625","0.15756988525390625"
"184","0.22137451171875","0.22137451171875","0.22137451171875"
"186","0.15337371826171875","0.15337371826171875","0.15337371826171875"
"188","0.15600204467773438","0.15600204467773438","0.15600204467773438"
"190","0.18067169189453125","0.18067169189453125","0.18067169189453125"
"192","0.14416885375976562","0.14416885375976562","0.14416885375976562"
"194","0.14080810546875","0.14080810546875","0.14080810546875"
"196","0.1758575439453125","0.1758575439453125","0.1758575439453125"
"198","0.09820556640625","0.09820556640625","0.09820556640625"
"200","0.1496734619140625","0.1496734619140625","0.1496734619140625"
"202","0.14260482788085938","0.14260482788085938","0.14260482788085938"
"204","0.16802978515625","0.16802978515625","0.16802978515625"
"206","0.15175247192382812","0.15175247192382812","0.15175247192382812"
"208","0.17951202392578125","0.17951202392578125","0.17951202392578125"
"210","0.120147705078125","0.120147705078125","0.120147705078125"
"212","0.15903472900390625","0.15903472900390625","0.15903472900390625"
"214","0.13897705078125","0.13897705078125","0.13897705078125"
"216","0.17730712890625","0.17730712890625","0.17730712890625"
"218","0.15737152099609375","0.15737152099609375","0.15737152099609375"
"220","0.1298828125","0.1298828125","0.1298828125"
"222","0.226226806640625","0.226226806640625","0.226226806640625"
"224","0.13761520385742188","0.13761520385742188","0.13761520385742188"
"226","0.1530914306640625","0.1530914306640625","0.1530914306640625"
"228","0.12591934204101562","0.12591934204101562","0.12591934204101562"
"233","0.12542343139648438","0.12542343139648438","0.12542343139648438"
"235","0.1495361328125","0.1495361328125","0.1495361328125"
"237","0.14971160888671875","0.14971160888671875","0.14971160888671875"
"239","0.13689422607421875","0.13689422607421875","0.13689422607421875"
"241","0.11219024658203125","0.11219024658203125","0.11219024658203125"
"243","0.15602874755859375","0.15602874755859375","0.15602874755859375"
"245","0.15129852294921875","0.15129852294921875","0.15129852294921875"
"247","0.20661163330078125","0.20661163330078125","0.20661163330078125"
"249","0.1358795166015625","0.1358795166015625","0.1358795166015625"
"251","0.13672828674316406","0.13672828674316406","0.13672828674316406"
"253","0.1631622314453125","0.1631622314453125","0.1631622314453125"
"255","0.14003753662109375","0.14003753662109375","0.14003753662109375"
"257","0.14169692993164062","0.14169692993164062","0.14169692993164062"
"259","0.14083099365234375","0.14083099365234375","0.14083099365234375"
"261","0.14329910278320312","0.14329910278320312","0.14329910278320312"
"263","0.1680450439453125","0.1680450439453125","0.1680450439453125"
"265","0.14862823486328125","0.14862823486328125","0.14862823486328125"
"267","0.15349578857421875","0.15349578857421875","0.15349578857421875"
"269","0.12599945068359375","0.12599945068359375","0.12599945068359375"
"271","0.0952606201171875","0.0952606201171875","0.0952606201171875"
"273","0.08025932312011719","0.08025932312011719","0.08025932312011719"
"275","0.1851806640625","0.1851806640625","0.1851806640625"
"277","0.11884689331054688","0.11884689331054688","0.11884689331054688"
"279","0.17903900146484375","0.17903900146484375","0.17903900146484375"
"281","0.164398193359375","0.164398193359375","0.164398193359375"
"283","0.12665939331054688","0.12665939331054688","0.12665939331054688"
"285","0.1605987548828125","0.1605987548828125","0.1605987548828125"
"287","0.15261077880859375","0.15261077880859375","0.15261077880859375"
"289","0.09409332275390625","0.09409332275390625","0.09409332275390625"
"291","0.1407928466796875","0.1407928466796875","0.1407928466796875"
"293","0.1703338623046875","0.1703338623046875","0.1703338623046875"
"295","0.11338615417480469","0.11338615417480469","0.11338615417480469"
"297","0.20119476318359375","0.20119476318359375","0.20119476318359375"
"299","0.13662338256835938","0.13662338256835938","0.13662338256835938"
"301","0.14750289916992188","0.14750289916992188","0.14750289916992188"
"303","0.17418670654296875","0.17418670654296875","0.17418670654296875"
"305","0.18337631225585938","0.18337631225585938","0.18337631225585938"
"307","0.14409255981445312","0.14409255981445312","0.14409255981445312"
"309","0.15485572814941406","0.15485572814941406","0.15485572814941406"
"311","0.12578964233398438","0.12578964233398438","0.12578964233398438"
"313","0.1501922607421875","0.1501922607421875","0.1501922607421875"
"315","0.12770462036132812","0.12770462036132812","0.12770462036132812"
"317","0.19585418701171875","0.19585418701171875","0.19585418701171875"
"319","0.1917572021484375","0.1917572021484375","0.1917572021484375"
"321","0.15522384643554688","0.15522384643554688","0.15522384643554688"
"323","0.169403076171875","0.169403076171875","0.169403076171875"
"325","0.14041900634765625","0.14041900634765625","0.14041900634765625"
"327","0.14731597900390625","0.14731597900390625","0.14731597900390625"
