"Step","test-model_141931 - Val Accuracy Validación","test-model_141931 - Val Accuracy Validación__MIN","test-model_141931 - Val Accuracy Validación__MAX"
"230","0.43575418994413406","0.43575418994413406","0.43575418994413406"
"693","0.44692737430167595","0.44692737430167595","0.44692737430167595"
"1156","0.45251396648044695","0.45251396648044695","0.45251396648044695"
"1619","0.659217877094972","0.659217877094972","0.659217877094972"
"2082","0.6312849162011173","0.6312849162011173","0.6312849162011173"
"2545","0.7206703910614525","0.7206703910614525","0.7206703910614525"
"3008","0.664804469273743","0.664804469273743","0.664804469273743"
"3471","0.7374301675977654","0.7374301675977654","0.7374301675977654"
"3934","0.7541899441340782","0.7541899441340782","0.7541899441340782"
"4397","0.776536312849162","0.776536312849162","0.776536312849162"
"4860","0.7541899441340782","0.7541899441340782","0.7541899441340782"
"5323","0.7597765363128491","0.7597765363128491","0.7597765363128491"
"5786","0.7821229050279329","0.7821229050279329","0.7821229050279329"
"6249","0.770949720670391","0.770949720670391","0.770949720670391"
"6712","0.7821229050279329","0.7821229050279329","0.7821229050279329"
"7175","0.7653631284916201","0.7653631284916201","0.7653631284916201"
"7638","0.7988826815642458","0.7988826815642458","0.7988826815642458"
"8101","0.7988826815642458","0.7988826815642458","0.7988826815642458"
"8564","0.776536312849162","0.776536312849162","0.776536312849162"
"9027","0.776536312849162","0.776536312849162","0.776536312849162"
"9490","0.776536312849162","0.776536312849162","0.776536312849162"
"9953","0.7541899441340782","0.7541899441340782","0.7541899441340782"
"10416","0.776536312849162","0.776536312849162","0.776536312849162"
"10879","0.770949720670391","0.770949720670391","0.770949720670391"
"11342","0.7653631284916201","0.7653631284916201","0.7653631284916201"
"11805","0.776536312849162","0.776536312849162","0.776536312849162"
"12268","0.7877094972067039","0.7877094972067039","0.7877094972067039"
"12731","0.7597765363128491","0.7597765363128491","0.7597765363128491"
"13194","0.7541899441340782","0.7541899441340782","0.7541899441340782"
"13657","0.7597765363128491","0.7597765363128491","0.7597765363128491"
"14120","0.7653631284916201","0.7653631284916201","0.7653631284916201"
"14583","0.770949720670391","0.770949720670391","0.770949720670391"
"15046","0.770949720670391","0.770949720670391","0.770949720670391"
