"Step","test-model_132024 - Val Accuracy Validación","test-model_132024 - Val Accuracy Validación__MIN","test-model_132024 - Val Accuracy Validación__MAX"
"262","0.2904761904761905","0.2904761904761905","0.2904761904761905"
"789","0.35714285714285715","0.35714285714285715","0.35714285714285715"
"1316","0.3952380952380952","0.3952380952380952","0.3952380952380952"
"1843","0.6190476190476191","0.6190476190476191","0.6190476190476191"
"2370","0.7285714285714285","0.7285714285714285","0.7285714285714285"
"2897","0.7523809523809524","0.7523809523809524","0.7523809523809524"
"3424","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"3951","0.7333333333333333","0.7333333333333333","0.7333333333333333"
"4478","0.7571428571428571","0.7571428571428571","0.7571428571428571"
"5005","0.7714285714285715","0.7714285714285715","0.7714285714285715"
"5532","0.7761904761904762","0.7761904761904762","0.7761904761904762"
"6059","0.8095238095238095","0.8095238095238095","0.8095238095238095"
"6586","0.780952380952381","0.780952380952381","0.780952380952381"
"7113","0.7952380952380952","0.7952380952380952","0.7952380952380952"
"7640","0.780952380952381","0.780952380952381","0.780952380952381"
"8167","0.7857142857142857","0.7857142857142857","0.7857142857142857"
"8694","0.780952380952381","0.780952380952381","0.780952380952381"
"9221","0.7619047619047619","0.7619047619047619","0.7619047619047619"
"9748","0.8047619047619048","0.8047619047619048","0.8047619047619048"
"10275","0.8095238095238095","0.8095238095238095","0.8095238095238095"
"10802","0.7952380952380952","0.7952380952380952","0.7952380952380952"
"11329","0.7952380952380952","0.7952380952380952","0.7952380952380952"
"11856","0.7714285714285715","0.7714285714285715","0.7714285714285715"
"12383","0.819047619047619","0.819047619047619","0.819047619047619"
"12910","0.7952380952380952","0.7952380952380952","0.7952380952380952"
"13437","0.8285714285714286","0.8285714285714286","0.8285714285714286"
"13964","0.8142857142857143","0.8142857142857143","0.8142857142857143"
"14491","0.8095238095238095","0.8095238095238095","0.8095238095238095"
"15018","0.8142857142857143","0.8142857142857143","0.8142857142857143"
"15545","0.8142857142857143","0.8142857142857143","0.8142857142857143"
"16072","0.8238095238095238","0.8238095238095238","0.8238095238095238"
"16599","0.8142857142857143","0.8142857142857143","0.8142857142857143"
"17126","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"17653","0.8238095238095238","0.8238095238095238","0.8238095238095238"
"18180","0.8285714285714286","0.8285714285714286","0.8285714285714286"
"18707","0.8380952380952381","0.8380952380952381","0.8380952380952381"
"19234","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"19761","0.8238095238095238","0.8238095238095238","0.8238095238095238"
"20288","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"20815","0.8380952380952381","0.8380952380952381","0.8380952380952381"
"21342","0.8285714285714286","0.8285714285714286","0.8285714285714286"
"21869","0.8285714285714286","0.8285714285714286","0.8285714285714286"
"22396","0.819047619047619","0.819047619047619","0.819047619047619"
"22923","0.819047619047619","0.819047619047619","0.819047619047619"
"23450","0.819047619047619","0.819047619047619","0.819047619047619"
"23977","0.819047619047619","0.819047619047619","0.819047619047619"
"24504","0.8285714285714286","0.8285714285714286","0.8285714285714286"
"25031","0.819047619047619","0.819047619047619","0.819047619047619"
"25558","0.8238095238095238","0.8238095238095238","0.8238095238095238"
"26085","0.8238095238095238","0.8238095238095238","0.8238095238095238"
"26350","0.819047619047619","0.819047619047619","0.819047619047619"
