"Step","test-model_251519 - Loss","test-model_251519 - Loss__MIN","test-model_251519 - Loss__MAX"
"0","0.1903228759765625","0.1903228759765625","0.1903228759765625"
"10","0.15616607666015625","0.15616607666015625","0.15616607666015625"
"18","0.1785430908203125","0.1785430908203125","0.1785430908203125"
"22","0.18932342529296875","0.18932342529296875","0.18932342529296875"
"28","0.1809539794921875","0.1809539794921875","0.1809539794921875"
"32","0.15839385986328125","0.15839385986328125","0.15839385986328125"
"34","0.16009902954101562","0.16009902954101562","0.16009902954101562"
"36","0.21917724609375","0.21917724609375","0.21917724609375"
"38","0.16613006591796875","0.16613006591796875","0.16613006591796875"
"42","0.1593780517578125","0.1593780517578125","0.1593780517578125"
"50","0.12026214599609375","0.12026214599609375","0.12026214599609375"
"52","0.145965576171875","0.145965576171875","0.145965576171875"
"66","0.1237945556640625","0.1237945556640625","0.1237945556640625"
"68","0.12125015258789062","0.12125015258789062","0.12125015258789062"
"70","0.1804046630859375","0.1804046630859375","0.1804046630859375"
"72","0.15681076049804688","0.15681076049804688","0.15681076049804688"
"78","0.17169189453125","0.17169189453125","0.17169189453125"
"84","0.17889404296875","0.17889404296875","0.17889404296875"
"88","0.16999435424804688","0.16999435424804688","0.16999435424804688"
"92","0.20795440673828125","0.20795440673828125","0.20795440673828125"
"96","0.17041778564453125","0.17041778564453125","0.17041778564453125"
"100","0.13341903686523438","0.13341903686523438","0.13341903686523438"
"102","0.15213775634765625","0.15213775634765625","0.15213775634765625"
"104","0.12587738037109375","0.12587738037109375","0.12587738037109375"
"112","0.1728973388671875","0.1728973388671875","0.1728973388671875"
"114","0.13734054565429688","0.13734054565429688","0.13734054565429688"
"116","0.10939407348632812","0.10939407348632812","0.10939407348632812"
"118","0.13499069213867188","0.13499069213867188","0.13499069213867188"
"124","0.1548309326171875","0.1548309326171875","0.1548309326171875"
"126","0.171478271484375","0.171478271484375","0.171478271484375"
"132","0.13933563232421875","0.13933563232421875","0.13933563232421875"
"136","0.15233612060546875","0.15233612060546875","0.15233612060546875"
"140","0.1834259033203125","0.1834259033203125","0.1834259033203125"
"142","0.1128997802734375","0.1128997802734375","0.1128997802734375"
"144","0.15912628173828125","0.15912628173828125","0.15912628173828125"
"146","0.157440185546875","0.157440185546875","0.157440185546875"
"148","0.15052032470703125","0.15052032470703125","0.15052032470703125"
"152","0.11402511596679688","0.11402511596679688","0.11402511596679688"
"154","0.11841964721679688","0.11841964721679688","0.11841964721679688"
"158","0.19456863403320312","0.19456863403320312","0.19456863403320312"
"164","0.11080551147460938","0.11080551147460938","0.11080551147460938"
"166","0.18605804443359375","0.18605804443359375","0.18605804443359375"
"174","0.11922073364257812","0.11922073364257812","0.11922073364257812"
"176","0.12752532958984375","0.12752532958984375","0.12752532958984375"
"182","0.16328811645507812","0.16328811645507812","0.16328811645507812"
"186","0.10545730590820312","0.10545730590820312","0.10545730590820312"
"188","0.15541839599609375","0.15541839599609375","0.15541839599609375"
"192","0.1484832763671875","0.1484832763671875","0.1484832763671875"
"198","0.1268157958984375","0.1268157958984375","0.1268157958984375"
"204","0.1852569580078125","0.1852569580078125","0.1852569580078125"
"210","0.14281463623046875","0.14281463623046875","0.14281463623046875"
"214","0.130706787109375","0.130706787109375","0.130706787109375"
"216","0.1565093994140625","0.1565093994140625","0.1565093994140625"
"234","0.154205322265625","0.154205322265625","0.154205322265625"
"236","0.11370849609375","0.11370849609375","0.11370849609375"
"242","0.19692230224609375","0.19692230224609375","0.19692230224609375"
"246","0.15673828125","0.15673828125","0.15673828125"
"250","0.164642333984375","0.164642333984375","0.164642333984375"
"254","0.11081695556640625","0.11081695556640625","0.11081695556640625"
"270","0.1837158203125","0.1837158203125","0.1837158203125"
"272","0.2003173828125","0.2003173828125","0.2003173828125"
"276","0.152313232421875","0.152313232421875","0.152313232421875"
"278","0.1365966796875","0.1365966796875","0.1365966796875"
