"Step","test-model_051324 - Train RMSE (meters)","test-model_051324 - Train RMSE (meters)__MIN","test-model_051324 - Train RMSE (meters)__MAX"
"462","10189.010601733435","10189.010601733435","10189.010601733435"
"464","8791.716450434262","8791.716450434262","8791.716450434262"
"468","8737.211418570729","8737.211418570729","8737.211418570729"
"470","12671.531117543946","12671.531117543946","12671.531117543946"
"472","11164.797161427641","11164.797161427641","11164.797161427641"
"474","10119.060210479254","10119.060210479254","10119.060210479254"
"476","12122.230842797835","12122.230842797835","12122.230842797835"
"478","13341.498656270354","13341.498656270354","13341.498656270354"
"482","12787.890176050314","12787.890176050314","12787.890176050314"
"484","8239.79275160401","8239.79275160401","8239.79275160401"
"486","11494.338715303993","11494.338715303993","11494.338715303993"
"488","7604.792756386214","7604.792756386214","7604.792756386214"
"490","11773.2163214206","11773.2163214206","11773.2163214206"
"494","11309.412266126224","11309.412266126224","11309.412266126224"
"496","12268.266818558917","12268.266818558917","12268.266818558917"
"498","11646.619443799518","11646.619443799518","11646.619443799518"
"500","7204.128187248525","7204.128187248525","7204.128187248525"
"502","11787.459803620912","11787.459803620912","11787.459803620912"
"506","7463.5198627871305","7463.5198627871305","7463.5198627871305"
"508","13773.531718156326","13773.531718156326","13773.531718156326"
"510","13824.108424073884","13824.108424073884","13824.108424073884"
"512","10301.91803360185","10301.91803360185","10301.91803360185"
"514","12077.416856937944","12077.416856937944","12077.416856937944"
"518","11593.191806897483","11593.191806897483","11593.191806897483"
"522","10065.401310583242","10065.401310583242","10065.401310583242"
"524","11642.65864484717","11642.65864484717","11642.65864484717"
"530","8475.662042983973","8475.662042983973","8475.662042983973"
"532","15477.458929821665","15477.458929821665","15477.458929821665"
"536","7050.132404599118","7050.132404599118","7050.132404599118"
"540","10716.683369253224","10716.683369253224","10716.683369253224"
"542","7413.500829872461","7413.500829872461","7413.500829872461"
"544","11133.961400763606","11133.961400763606","11133.961400763606"
"546","12727.28424180117","12727.28424180117","12727.28424180117"
"548","11917.230903943571","11917.230903943571","11917.230903943571"
"550","16199.981296198845","16199.981296198845","16199.981296198845"
"552","9039.06851383362","9039.06851383362","9039.06851383362"
"554","11538.983736692726","11538.983736692726","11538.983736692726"
"556","11187.723296084136","11187.723296084136","11187.723296084136"
"558","11452.121206638129","11452.121206638129","11452.121206638129"
"560","11813.201217425674","11813.201217425674","11813.201217425674"
"562","10639.62154726409","10639.62154726409","10639.62154726409"
"566","11303.551691305378","11303.551691305378","11303.551691305378"
"568","7798.99115885226","7798.99115885226","7798.99115885226"
"574","9254.15868322265","9254.15868322265","9254.15868322265"
"576","13736.05584631794","13736.05584631794","13736.05584631794"
"580","6108.065686817617","6108.065686817617","6108.065686817617"
"582","9905.240389522349","9905.240389522349","9905.240389522349"
"584","9177.594209986055","9177.594209986055","9177.594209986055"
"586","9140.360249654783","9140.360249654783","9140.360249654783"
"588","13019.213562988589","13019.213562988589","13019.213562988589"
"590","9603.322301613553","9603.322301613553","9603.322301613553"
"596","11826.189515205415","11826.189515205415","11826.189515205415"
"600","6875.1955004551955","6875.1955004551955","6875.1955004551955"
"602","11148.18007580309","11148.18007580309","11148.18007580309"
"604","15230.554346126328","15230.554346126328","15230.554346126328"
"606","8805.051374659217","8805.051374659217","8805.051374659217"
"608","11127.300303237153","11127.300303237153","11127.300303237153"
"610","8501.454032622461","8501.454032622461","8501.454032622461"
"612","10638.146401656053","10638.146401656053","10638.146401656053"
"614","11364.208761884453","11364.208761884453","11364.208761884453"
"616","6269.485378394664","6269.485378394664","6269.485378394664"
"618","9332.692368387407","9332.692368387407","9332.692368387407"
"620","8312.189856458304","8312.189856458304","8312.189856458304"
"628","12400.478913687904","12400.478913687904","12400.478913687904"
"630","7936.330934473251","7936.330934473251","7936.330934473251"
"632","14142.023091197701","14142.023091197701","14142.023091197701"
"634","7310.227521911964","7310.227521911964","7310.227521911964"
"636","4917.903236152771","4917.903236152771","4917.903236152771"
"638","7347.695122899397","7347.695122899397","7347.695122899397"
"640","8496.102870190867","8496.102870190867","8496.102870190867"
"642","13670.256600640083","13670.256600640083","13670.256600640083"
"644","8133.982681386354","8133.982681386354","8133.982681386354"
"646","10271.32077765942","10271.32077765942","10271.32077765942"
"650","11867.378198172582","11867.378198172582","11867.378198172582"
"652","13251.022947158388","13251.022947158388","13251.022947158388"
"654","7874.718676189389","7874.718676189389","7874.718676189389"
"656","11334.076994918982","11334.076994918982","11334.076994918982"
"658","13565.26075118874","13565.26075118874","13565.26075118874"
"660","12504.352765391734","12504.352765391734","12504.352765391734"
"662","15757.482779613141","15757.482779613141","15757.482779613141"
"664","5216.723328375095","5216.723328375095","5216.723328375095"
"666","10318.515063729972","10318.515063729972","10318.515063729972"
"668","11391.291804216546","11391.291804216546","11391.291804216546"
"670","10311.879226033549","10311.879226033549","10311.879226033549"
"672","12403.870015584871","12403.870015584871","12403.870015584871"
"674","7677.595783109422","7677.595783109422","7677.595783109422"
"676","10815.451180671364","10815.451180671364","10815.451180671364"
"678","8099.9858650037095","8099.9858650037095","8099.9858650037095"
"680","8591.343976376416","8591.343976376416","8591.343976376416"
"688","11336.825482576678","11336.825482576678","11336.825482576678"
"694","7278.673084369525","7278.673084369525","7278.673084369525"
"696","9734.27340483576","9734.27340483576","9734.27340483576"
"698","7929.998682991294","7929.998682991294","7929.998682991294"
"702","8650.746079611701","8650.746079611701","8650.746079611701"
