"Step","test-model_062021 - Train RMSE (meters)","test-model_062021 - Train RMSE (meters)__MIN","test-model_062021 - Train RMSE (meters)__MAX"
"119","9136.07231289894","9136.07231289894","9136.07231289894"
"121","7808.425985483458","7808.425985483458","7808.425985483458"
"125","12478.42786933921","12478.42786933921","12478.42786933921"
"127","10740.448967093507","10740.448967093507","10740.448967093507"
"129","9405.826432332666","9405.826432332666","9405.826432332666"
"131","11268.23642637323","11268.23642637323","11268.23642637323"
"133","11917.695038889777","11917.695038889777","11917.695038889777"
"135","9151.40966646331","9151.40966646331","9151.40966646331"
"137","9199.026960248613","9199.026960248613","9199.026960248613"
"139","12435.493920873883","12435.493920873883","12435.493920873883"
"141","9526.585860409094","9526.585860409094","9526.585860409094"
"143","14819.952912661232","14819.952912661232","14819.952912661232"
"145","8313.83681482973","8313.83681482973","8313.83681482973"
"147","8815.775309961093","8815.775309961093","8815.775309961093"
"149","9432.72557025035","9432.72557025035","9432.72557025035"
"151","12098.049158669639","12098.049158669639","12098.049158669639"
"153","9721.745290108576","9721.745290108576","9721.745290108576"
"155","11454.314249493396","11454.314249493396","11454.314249493396"
"157","10602.899454440418","10602.899454440418","10602.899454440418"
"159","5983.300742598087","5983.300742598087","5983.300742598087"
"163","7764.944296156224","7764.944296156224","7764.944296156224"
"165","14265.043750298735","14265.043750298735","14265.043750298735"
"167","12504.015277648205","12504.015277648205","12504.015277648205"
"169","13868.407289827148","13868.407289827148","13868.407289827148"
"171","10057.971527705586","10057.971527705586","10057.971527705586"
"173","11734.449932402646","11734.449932402646","11734.449932402646"
"175","8924.84363664701","8924.84363664701","8924.84363664701"
"177","7575.424342340317","7575.424342340317","7575.424342340317"
"179","11312.826415352896","11312.826415352896","11312.826415352896"
"181","9876.988621158192","9876.988621158192","9876.988621158192"
"183","8346.155355687293","8346.155355687293","8346.155355687293"
"187","7509.029833559745","7509.029833559745","7509.029833559745"
"189","10234.477501275827","10234.477501275827","10234.477501275827"
"191","10307.428095324125","10307.428095324125","10307.428095324125"
"193","11393.204636320317","11393.204636320317","11393.204636320317"
"195","10309.162177704518","10309.162177704518","10309.162177704518"
"197","11231.916516735511","11231.916516735511","11231.916516735511"
"199","11981.317520548324","11981.317520548324","11981.317520548324"
"201","7413.438519508046","7413.438519508046","7413.438519508046"
"203","8349.829598361306","8349.829598361306","8349.829598361306"
"205","8948.040342234875","8948.040342234875","8948.040342234875"
"207","12331.443156350288","12331.443156350288","12331.443156350288"
"209","7780.932163350221","7780.932163350221","7780.932163350221"
"211","14107.898757439349","14107.898757439349","14107.898757439349"
"215","9401.186926961997","9401.186926961997","9401.186926961997"
"217","9339.10555536826","9339.10555536826","9339.10555536826"
"219","13202.941712681657","13202.941712681657","13202.941712681657"
"221","6825.963182219836","6825.963182219836","6825.963182219836"
"223","12635.568274552597","12635.568274552597","12635.568274552597"
"225","12261.305613392124","12261.305613392124","12261.305613392124"
"229","12783.935619143198","12783.935619143198","12783.935619143198"
"234","8237.573136510036","8237.573136510036","8237.573136510036"
"236","9471.30992013062","9471.30992013062","9471.30992013062"
"238","9556.804232246463","9556.804232246463","9556.804232246463"
"240","9030.180224249738","9030.180224249738","9030.180224249738"
"242","7417.124382282472","7417.124382282472","7417.124382282472"
"244","10905.878951529485","10905.878951529485","10905.878951529485"
"246","10263.074282191044","10263.074282191044","10263.074282191044"
"248","8945.016981016004","8945.016981016004","8945.016981016004"
"250","12448.217901737507","12448.217901737507","12448.217901737507"
"252","8647.942036924105","8647.942036924105","8647.942036924105"
"254","12126.597309099454","12126.597309099454","12126.597309099454"
"256","8677.346505291482","8677.346505291482","8677.346505291482"
"258","12500.767207443258","12500.767207443258","12500.767207443258"
"262","7770.8323344893915","7770.8323344893915","7770.8323344893915"
"264","9549.870047758617","9549.870047758617","9549.870047758617"
"268","12446.580706083128","12446.580706083128","12446.580706083128"
"270","8510.597214637677","8510.597214637677","8510.597214637677"
"272","8235.989088498669","8235.989088498669","8235.989088498669"
"274","10230.228078952776","10230.228078952776","10230.228078952776"
"276","8152.098582099387","8152.098582099387","8152.098582099387"
"278","9704.687499508653","9704.687499508653","9704.687499508653"
"280","8485.527395875712","8485.527395875712","8485.527395875712"
"282","10410.140790802605","10410.140790802605","10410.140790802605"
"284","11567.84655702953","11567.84655702953","11567.84655702953"
"286","7334.165202627812","7334.165202627812","7334.165202627812"
"288","11817.999614131324","11817.999614131324","11817.999614131324"
"292","10722.901944262207","10722.901944262207","10722.901944262207"
"294","14687.452113296686","14687.452113296686","14687.452113296686"
"296","10642.623310409734","10642.623310409734","10642.623310409734"
"298","10892.779888263272","10892.779888263272","10892.779888263272"
"300","6836.265556093151","6836.265556093151","6836.265556093151"
"302","6304.207567291132","6304.207567291132","6304.207567291132"
"306","12242.034774830598","12242.034774830598","12242.034774830598"
"308","12984.014512990008","12984.014512990008","12984.014512990008"
"310","7749.621458960876","7749.621458960876","7749.621458960876"
"312","9061.269347719724","9061.269347719724","9061.269347719724"
"314","8121.938862389905","8121.938862389905","8121.938862389905"
"316","10440.430555271336","10440.430555271336","10440.430555271336"
"318","13754.950845839248","13754.950845839248","13754.950845839248"
"320","11879.736808886255","11879.736808886255","11879.736808886255"
"322","11176.877269048171","11176.877269048171","11176.877269048171"
"326","8972.547292151592","8972.547292151592","8972.547292151592"
"328","14323.337433154293","14323.337433154293","14323.337433154293"
"330","13122.526571545231","13122.526571545231","13122.526571545231"
"334","6861.128684993928","6861.128684993928","6861.128684993928"
"336","10873.579436728538","10873.579436728538","10873.579436728538"
"338","10074.866307699149","10074.866307699149","10074.866307699149"
"340","13171.43989106795","13171.43989106795","13171.43989106795"
"342","9546.6789063139","9546.6789063139","9546.6789063139"
"344","12905.969445825385","12905.969445825385","12905.969445825385"
"346","7448.160705480822","7448.160705480822","7448.160705480822"
"348","15300.51560374612","15300.51560374612","15300.51560374612"
"350","13609.81441449751","13609.81441449751","13609.81441449751"
"352","7418.772400305594","7418.772400305594","7418.772400305594"
"354","9247.737504725079","9247.737504725079","9247.737504725079"
"356","8932.756832603927","8932.756832603927","8932.756832603927"
"358","10946.50987369568","10946.50987369568","10946.50987369568"
"360","10001.637205569876","10001.637205569876","10001.637205569876"
"364","14381.258058442101","14381.258058442101","14381.258058442101"
"366","10010.12944746586","10010.12944746586","10010.12944746586"
"368","10447.801725618034","10447.801725618034","10447.801725618034"
"370","13683.043795289654","13683.043795289654","13683.043795289654"
"372","11737.470805138952","11737.470805138952","11737.470805138952"
"376","13232.167822169118","13232.167822169118","13232.167822169118"
"380","8295.14938484409","8295.14938484409","8295.14938484409"
"384","12523.625934632437","12523.625934632437","12523.625934632437"
"386","7437.584964683618","7437.584964683618","7437.584964683618"
"388","11983.692254185677","11983.692254185677","11983.692254185677"
"390","16213.807369039807","16213.807369039807","16213.807369039807"
"392","14168.893788621514","14168.893788621514","14168.893788621514"
"394","13338.029997858956","13338.029997858956","13338.029997858956"
"396","10502.55001983318","10502.55001983318","10502.55001983318"
"398","13025.04397657589","13025.04397657589","13025.04397657589"
"400","13377.284933267347","13377.284933267347","13377.284933267347"
"404","11712.02911928601","11712.02911928601","11712.02911928601"
"406","13832.021476787399","13832.021476787399","13832.021476787399"
"408","8734.989915742604","8734.989915742604","8734.989915742604"
"410","12055.440586223562","12055.440586223562","12055.440586223562"
"412","8276.733750409325","8276.733750409325","8276.733750409325"
"416","9366.102765090764","9366.102765090764","9366.102765090764"
"418","8160.960141873051","8160.960141873051","8160.960141873051"
"420","7590.286878057036","7590.286878057036","7590.286878057036"
"424","10584.961680801074","10584.961680801074","10584.961680801074"
"426","9809.781153431955","9809.781153431955","9809.781153431955"
"428","9525.823455419206","9525.823455419206","9525.823455419206"
"430","8098.702789559986","8098.702789559986","8098.702789559986"
"434","10988.579955856832","10988.579955856832","10988.579955856832"
"436","11313.226834546902","11313.226834546902","11313.226834546902"
"440","9056.169008533892","9056.169008533892","9056.169008533892"
"442","8474.657398377054","8474.657398377054","8474.657398377054"
"444","7869.736623077139","7869.736623077139","7869.736623077139"
"446","6100.893479715839","6100.893479715839","6100.893479715839"
"448","10965.204301592898","10965.204301592898","10965.204301592898"
"450","8220.320344887466","8220.320344887466","8220.320344887466"
"452","8362.638959314567","8362.638959314567","8362.638959314567"
"454","10003.82111977518","10003.82111977518","10003.82111977518"
"456","6891.5834690162965","6891.5834690162965","6891.5834690162965"
"458","12143.294052069565","12143.294052069565","12143.294052069565"
"460","11322.551013665683","11322.551013665683","11322.551013665683"
"462","6681.4683469915935","6681.4683469915935","6681.4683469915935"
"464","8463.778722328687","8463.778722328687","8463.778722328687"
"468","8735.352244838221","8735.352244838221","8735.352244838221"
"470","8522.729622233674","8522.729622233674","8522.729622233674"
"472","11243.106001285958","11243.106001285958","11243.106001285958"
"474","9707.59031347585","9707.59031347585","9707.59031347585"
"476","12042.61886677394","12042.61886677394","12042.61886677394"
"478","12788.334363787113","12788.334363787113","12788.334363787113"
