"Step","test-model_231757 - Train RMSE (meters)","test-model_231757 - Train RMSE (meters)__MIN","test-model_231757 - Train RMSE (meters)__MAX"
"167","1.0420281101030207","1.0420281101030207","1.0420281101030207"
"175","1.3380483715311602","1.3380483715311602","1.3380483715311602"
"177","1.1056951284297973","1.1056951284297973","1.1056951284297973"
"183","1.319936484340391","1.319936484340391","1.319936484340391"
"187","0.6833556278204959","0.6833556278204959","0.6833556278204959"
"189","1.2246990262302175","1.2246990262302175","1.2246990262302175"
"193","1.3484422243815704","1.3484422243815704","1.3484422243815704"
"199","1.2722560339927196","1.2722560339927196","1.2722560339927196"
"205","0.7453794405323688","0.7453794405323688","0.7453794405323688"
"211","1.482963774574976","1.482963774574976","1.482963774574976"
"215","1.306633417540146","1.306633417540146","1.306633417540146"
"217","1.2175595264648171","1.2175595264648171","1.2175595264648171"
"235","1.1764819823091985","1.1764819823091985","1.1764819823091985"
"237","1.047372443597016","1.047372443597016","1.047372443597016"
"243","1.2405705514485412","1.2405705514485412","1.2405705514485412"
"247","1.0854260454608573","1.0854260454608573","1.0854260454608573"
"251","1.2621758167531754","1.2621758167531754","1.2621758167531754"
"255","0.8682079325556331","0.8682079325556331","0.8682079325556331"
"271","0.8638880396617655","0.8638880396617655","0.8638880396617655"
"273","1.2005672266581775","1.2005672266581775","1.2005672266581775"
"277","1.1617038051154442","1.1617038051154442","1.1617038051154442"
"279","0.8569453138109685","0.8569453138109685","0.8569453138109685"
"285","0.9851949395274746","0.9851949395274746","0.9851949395274746"
"287","1.210865633893169","1.210865633893169","1.210865633893169"
"291","1.0009476224856098","1.0009476224856098","1.0009476224856098"
"293","1.2608943170765976","1.2608943170765976","1.2608943170765976"
"297","0.8011724493432927","0.8011724493432927","0.8011724493432927"
"299","0.8527607318266621","0.8527607318266621","0.8527607318266621"
"301","0.769916341249813","0.769916341249813","0.769916341249813"
"305","1.4296017813912143","1.4296017813912143","1.4296017813912143"
"307","1.3485238199022025","1.3485238199022025","1.3485238199022025"
"309","0.8086945475533536","0.8086945475533536","0.8086945475533536"
"313","1.1888062670976347","1.1888062670976347","1.1888062670976347"
