"Step","test-model_231757 - Val RMSE Validación (metros)","test-model_231757 - Val RMSE Validación (metros)__MIN","test-model_231757 - Val RMSE Validación (metros)__MAX"
"494","0.9830246559822065","0.9830246559822065","0.9830246559822065"
"1483","0.634427916610398","0.634427916610398","0.634427916610398"
"2472","0.4616899566973144","0.4616899566973144","0.4616899566973144"
"3461","0.24450716679990406","0.24450716679990406","0.24450716679990406"
"4450","0.23947549276338329","0.23947549276338329","0.23947549276338329"
"5439","0.21585547275025965","0.21585547275025965","0.21585547275025965"
"6428","0.20860021170061477","0.20860021170061477","0.20860021170061477"
"7417","0.2049836079753521","0.2049836079753521","0.2049836079753521"
"8406","0.20570859832823724","0.20570859832823724","0.20570859832823724"
"9395","0.19447416115272909","0.19447416115272909","0.19447416115272909"
"10384","0.21643585798447917","0.21643585798447917","0.21643585798447917"
"11373","0.21494086139732366","0.21494086139732366","0.21494086139732366"
"12362","0.1964494328683011","0.1964494328683011","0.1964494328683011"
"13351","0.18020119597002135","0.18020119597002135","0.18020119597002135"
"14340","0.18811051238516896","0.18811051238516896","0.18811051238516896"
"15329","0.17413264041920085","0.17413264041920085","0.17413264041920085"
"16318","0.18754220717463443","0.18754220717463443","0.18754220717463443"
"17307","0.1919891877636073","0.1919891877636073","0.1919891877636073"
"18296","0.21101908979508033","0.21101908979508033","0.21101908979508033"
"19285","0.18070989482082278","0.18070989482082278","0.18070989482082278"
"20274","0.1803759477812067","0.1803759477812067","0.1803759477812067"
"21263","0.17111561327074015","0.17111561327074015","0.17111561327074015"
"22252","0.18576129897203253","0.18576129897203253","0.18576129897203253"
"23241","0.17267929997733747","0.17267929997733747","0.17267929997733747"
"24230","0.16689764934846443","0.16689764934846443","0.16689764934846443"
"25219","0.18656908630428676","0.18656908630428676","0.18656908630428676"
"26208","0.17127997259278033","0.17127997259278033","0.17127997259278033"
"27197","0.16967024194971436","0.16967024194971436","0.16967024194971436"
"28186","0.16927472371533983","0.16927472371533983","0.16927472371533983"
"29175","0.171048127557683","0.171048127557683","0.171048127557683"
"30164","0.1705511944927517","0.1705511944927517","0.1705511944927517"
"31153","0.1689802132022013","0.1689802132022013","0.1689802132022013"
"32142","0.17177748787643424","0.17177748787643424","0.17177748787643424"
"33131","0.1655759336473677","0.1655759336473677","0.1655759336473677"
"34120","0.16768800686640242","0.16768800686640242","0.16768800686640242"
"35109","0.16739998582269222","0.16739998582269222","0.16739998582269222"
"36098","0.16943611831905467","0.16943611831905467","0.16943611831905467"
"37087","0.16497026781988725","0.16497026781988725","0.16497026781988725"
"38076","0.1674369963813827","0.1674369963813827","0.1674369963813827"
"39065","0.16947582100721242","0.16947582100721242","0.16947582100721242"
"40054","0.17188232320579","0.17188232320579","0.17188232320579"
"41043","0.1696379926266698","0.1696379926266698","0.1696379926266698"
"42032","0.16686348478824928","0.16686348478824928","0.16686348478824928"
"43021","0.16842705084746437","0.16842705084746437","0.16842705084746437"
"44010","0.1690218948938595","0.1690218948938595","0.1690218948938595"
"44999","0.16810668320334654","0.16810668320334654","0.16810668320334654"
"45988","0.16771604828057496","0.16771604828057496","0.16771604828057496"
"46977","0.16964394779651681","0.16964394779651681","0.16964394779651681"
"47966","0.1691166588877034","0.1691166588877034","0.1691166588877034"
"48955","0.16850772751573043","0.16850772751573043","0.16850772751573043"
"49450","0.16810204867972625","0.16810204867972625","0.16810204867972625"
