"Step","test-model_082337 - Train RMSE (meters)","test-model_082337 - Train RMSE (meters)__MIN","test-model_082337 - Train RMSE (meters)__MAX","test-model_080952 - Train RMSE (meters)","test-model_080952 - Train RMSE (meters)__MIN","test-model_080952 - Train RMSE (meters)__MAX","test-model_060949 - Train RMSE (meters)","test-model_060949 - Train RMSE (meters)__MIN","test-model_060949 - Train RMSE (meters)__MAX","test-model_051324 - Train RMSE (meters)","test-model_051324 - Train RMSE (meters)__MIN","test-model_051324 - Train RMSE (meters)__MAX"
"21","7108.069499114506","7108.069499114506","7108.069499114506","8340.891073248573","8340.891073248573","8340.891073248573","4552.545328359749","4552.545328359749","4552.545328359749","8843.80669457693","8843.80669457693","8843.80669457693"
"23","6590.540787442345","6590.540787442345","6590.540787442345","6247.868651328218","6247.868651328218","6247.868651328218","4985.108551768063","4985.108551768063","4985.108551768063","15154.124632007839","15154.124632007839","15154.124632007839"
"25","7729.045688748291","7729.045688748291","7729.045688748291","6457.429997016349","6457.429997016349","6457.429997016349","4779.46226818277","4779.46226818277","4779.46226818277","13340.775777000916","13340.775777000916","13340.775777000916"
"27","11596.366155301086","11596.366155301086","11596.366155301086","","","","","","","","",""
"29","9356.466411363332","9356.466411363332","9356.466411363332","7829.040945835994","7829.040945835994","7829.040945835994","2438.058235972475","2438.058235972475","2438.058235972475","12994.191596090188","12994.191596090188","12994.191596090188"
"31","7144.412382293524","7144.412382293524","7144.412382293524","9276.600697525335","9276.600697525335","9276.600697525335","3900.5451506070053","3900.5451506070053","3900.5451506070053","11569.766776784896","11569.766776784896","11569.766776784896"
"33","8059.2880060915195","8059.2880060915195","8059.2880060915195","7156.12029911761","7156.12029911761","7156.12029911761","5220.4821675784015","5220.4821675784015","5220.4821675784015","8260.982832361255","8260.982832361255","8260.982832361255"
"35","9312.023675500948","9312.023675500948","9312.023675500948","6828.751192688074","6828.751192688074","6828.751192688074","3091.9412565949333","3091.9412565949333","3091.9412565949333","12142.245072878866","12142.245072878866","12142.245072878866"
"37","8726.66175669723","8726.66175669723","8726.66175669723","6509.7386324987","6509.7386324987","6509.7386324987","3545.969028132706","3545.969028132706","3545.969028132706","15325.093442996034","15325.093442996034","15325.093442996034"
"39","7058.641485275541","7058.641485275541","7058.641485275541","7143.203403390746","7143.203403390746","7143.203403390746","3905.8587832049357","3905.8587832049357","3905.8587832049357","14820.536883741386","14820.536883741386","14820.536883741386"
"41","9744.865324774006","9744.865324774006","9744.865324774006","7685.5693656854055","7685.5693656854055","7685.5693656854055","3523.922559079408","3523.922559079408","3523.922559079408","11671.306958859821","11671.306958859821","11671.306958859821"
"43","8794.372649879406","8794.372649879406","8794.372649879406","7621.353966177598","7621.353966177598","7621.353966177598","1261.3452943287223","1261.3452943287223","1261.3452943287223","9993.315190917383","9993.315190917383","9993.315190917383"
"45","11028.522489264082","11028.522489264082","11028.522489264082","7301.694695492135","7301.694695492135","7301.694695492135","4580.867674878527","4580.867674878527","4580.867674878527","8744.95735640077","8744.95735640077","8744.95735640077"
"47","10968.105547196088","10968.105547196088","10968.105547196088","","","","","","","","",""
"49","8889.053205785991","8889.053205785991","8889.053205785991","","","","","","","","",""
"51","8391.632516848931","8391.632516848931","8391.632516848931","5181.141506849177","5181.141506849177","5181.141506849177","2956.581272976478","2956.581272976478","2956.581272976478","16549.87717896955","16549.87717896955","16549.87717896955"
"53","8107.850977111075","8107.850977111075","8107.850977111075","7452.869546858992","7452.869546858992","7452.869546858992","3284.5413639534786","3284.5413639534786","3284.5413639534786","13212.338003935674","13212.338003935674","13212.338003935674"
"55","7489.391214792009","7489.391214792009","7489.391214792009","4604.284740965038","4604.284740965038","4604.284740965038","2600.9653282395557","2600.9653282395557","2600.9653282395557","10906.561008161543","10906.561008161543","10906.561008161543"
"57","6952.333726756754","6952.333726756754","6952.333726756754","6453.474252407829","6453.474252407829","6453.474252407829","2633.141245254251","2633.141245254251","2633.141245254251","14534.773860782356","14534.773860782356","14534.773860782356"
"59","7687.815388358409","7687.815388358409","7687.815388358409","6048.116255920718","6048.116255920718","6048.116255920718","2848.5735814184727","2848.5735814184727","2848.5735814184727","12973.055756713953","12973.055756713953","12973.055756713953"
"61","10375.676696034567","10375.676696034567","10375.676696034567","8437.083905168032","8437.083905168032","8437.083905168032","2297.995517824075","2297.995517824075","2297.995517824075","14594.816409894069","14594.816409894069","14594.816409894069"
"63","7834.409509620087","7834.409509620087","7834.409509620087","5901.1435459250115","5901.1435459250115","5901.1435459250115","3446.577722140718","3446.577722140718","3446.577722140718","16377.961975578974","16377.961975578974","16377.961975578974"
"65","9986.014122654811","9986.014122654811","9986.014122654811","4023.582492919429","4023.582492919429","4023.582492919429","4563.439899463019","4563.439899463019","4563.439899463019","12875.87240652199","12875.87240652199","12875.87240652199"
"67","9017.182531307519","9017.182531307519","9017.182531307519","4654.576071090208","4654.576071090208","4654.576071090208","1997.7054658510424","1997.7054658510424","1997.7054658510424","13731.28310674011","13731.28310674011","13731.28310674011"
"69","7090.612953011042","7090.612953011042","7090.612953011042","6306.330508123694","6306.330508123694","6306.330508123694","4184.140124292196","4184.140124292196","4184.140124292196","15187.377426845911","15187.377426845911","15187.377426845911"
"71","7754.74908893823","7754.74908893823","7754.74908893823","7956.684927129014","7956.684927129014","7956.684927129014","2545.0945873894957","2545.0945873894957","2545.0945873894957","4912.774285577374","4912.774285577374","4912.774285577374"
"73","9707.431593071118","9707.431593071118","9707.431593071118","6807.688956620437","6807.688956620437","6807.688956620437","2078.271896505305","2078.271896505305","2078.271896505305","14684.722313078699","14684.722313078699","14684.722313078699"
"75","8961.98235350976","8961.98235350976","8961.98235350976","","","","","","","","",""
"77","10222.912841655192","10222.912841655192","10222.912841655192","6804.660635018119","6804.660635018119","6804.660635018119","4024.0553964746355","4024.0553964746355","4024.0553964746355","11813.75975173614","11813.75975173614","11813.75975173614"
"79","8722.072036797323","8722.072036797323","8722.072036797323","9711.535078645162","9711.535078645162","9711.535078645162","4723.323626569969","4723.323626569969","4723.323626569969","11181.161928549676","11181.161928549676","11181.161928549676"
"81","8694.959278592642","8694.959278592642","8694.959278592642","6567.315423896244","6567.315423896244","6567.315423896244","4040.2271355146695","4040.2271355146695","4040.2271355146695","13965.538594492264","13965.538594492264","13965.538594492264"
"83","7830.37429748038","7830.37429748038","7830.37429748038","6712.532715389153","6712.532715389153","6712.532715389153","3329.4945706164112","3329.4945706164112","3329.4945706164112","8289.153088677758","8289.153088677758","8289.153088677758"
"85","10153.019317894123","10153.019317894123","10153.019317894123","5744.776239544469","5744.776239544469","5744.776239544469","2448.146670608106","2448.146670608106","2448.146670608106","15585.25829699598","15585.25829699598","15585.25829699598"
"87","8239.609012169898","8239.609012169898","8239.609012169898","8700.175115861828","8700.175115861828","8700.175115861828","1907.9135882052947","1907.9135882052947","1907.9135882052947","8675.430531220833","8675.430531220833","8675.430531220833"
"89","5982.850699851982","5982.850699851982","5982.850699851982","5842.264496591005","5842.264496591005","5842.264496591005","4043.7423039736027","4043.7423039736027","4043.7423039736027","9999.715979834273","9999.715979834273","9999.715979834273"
"91","8668.44453060289","8668.44453060289","8668.44453060289","5390.811861641844","5390.811861641844","5390.811861641844","3011.7648030877754","3011.7648030877754","3011.7648030877754","9513.358536824784","9513.358536824784","9513.358536824784"
"93","8683.080221307942","8683.080221307942","8683.080221307942","6838.477398545445","6838.477398545445","6838.477398545445","3398.3857600340307","3398.3857600340307","3398.3857600340307","14668.47912831266","14668.47912831266","14668.47912831266"
"95","9830.066313301628","9830.066313301628","9830.066313301628","7600.608977589589","7600.608977589589","7600.608977589589","1668.9714437529394","1668.9714437529394","1668.9714437529394","10466.440999479582","10466.440999479582","10466.440999479582"
"97","5584.422352851034","5584.422352851034","5584.422352851034","6181.05386899202","6181.05386899202","6181.05386899202","2751.7142263211426","2751.7142263211426","2751.7142263211426","15258.621092825491","15258.621092825491","15258.621092825491"
"99","9197.844708435901","9197.844708435901","9197.844708435901","","","","","","","","",""
"101","7949.32972223677","7949.32972223677","7949.32972223677","5926.658620741281","5926.658620741281","5926.658620741281","3286.6619528652172","3286.6619528652172","3286.6619528652172","10876.34619788332","10876.34619788332","10876.34619788332"
"103","9042.697185615974","9042.697185615974","9042.697185615974","4898.122664803088","4898.122664803088","4898.122664803088","3374.3076232384274","3374.3076232384274","3374.3076232384274","13274.803841213816","13274.803841213816","13274.803841213816"
"105","7117.0773544749445","7117.0773544749445","7117.0773544749445","5724.536990303839","5724.536990303839","5724.536990303839","3464.378265456399","3464.378265456399","3464.378265456399","8855.88173056838","8855.88173056838","8855.88173056838"
"107","7583.162265636659","7583.162265636659","7583.162265636659","5817.521213219051","5817.521213219051","5817.521213219051","3587.10005454799","3587.10005454799","3587.10005454799","14307.228883490507","14307.228883490507","14307.228883490507"
"109","9581.980229648967","9581.980229648967","9581.980229648967","7490.63025750082","7490.63025750082","7490.63025750082","4478.942085520659","4478.942085520659","4478.942085520659","10778.465464261702","10778.465464261702","10778.465464261702"
"111","8850.803783791116","8850.803783791116","8850.803783791116","7784.108261261188","7784.108261261188","7784.108261261188","4383.77080222253","4383.77080222253","4383.77080222253","9712.041716889806","9712.041716889806","9712.041716889806"
"113","8704.077238795533","8704.077238795533","8704.077238795533","7929.2845975999835","7929.2845975999835","7929.2845975999835","3366.8406279080314","3366.8406279080314","3366.8406279080314","11521.839612963895","11521.839612963895","11521.839612963895"
"115","8476.468274695912","8476.468274695912","8476.468274695912","10380.406912617094","10380.406912617094","10380.406912617094","2385.0797591578203","2385.0797591578203","2385.0797591578203","15261.134975917545","15261.134975917545","15261.134975917545"
"117","7791.9258050783765","7791.9258050783765","7791.9258050783765","5188.299623010814","5188.299623010814","5188.299623010814","3192.515130391782","3192.515130391782","3192.515130391782","11555.019742716911","11555.019742716911","11555.019742716911"
"119","9471.089341652623","9471.089341652623","9471.089341652623","5639.0946021346135","5639.0946021346135","5639.0946021346135","2749.1440416241276","2749.1440416241276","2749.1440416241276","11401.114156721149","11401.114156721149","11401.114156721149"
"121","12086.395116919777","12086.395116919777","12086.395116919777","5861.4721995528025","5861.4721995528025","5861.4721995528025","2675.6988289940673","2675.6988289940673","2675.6988289940673","11187.113259732829","11187.113259732829","11187.113259732829"
"123","8807.43116331852","8807.43116331852","8807.43116331852","","","","","","","","",""
"125","6272.847139506796","6272.847139506796","6272.847139506796","6363.512628609458","6363.512628609458","6363.512628609458","4013.473802862881","4013.473802862881","4013.473802862881","13299.320717724157","13299.320717724157","13299.320717724157"
"127","7656.713588459003","7656.713588459003","7656.713588459003","6392.100921544331","6392.100921544331","6392.100921544331","2343.578332336159","2343.578332336159","2343.578332336159","9364.396774815597","9364.396774815597","9364.396774815597"
"129","9894.373468164351","9894.373468164351","9894.373468164351","4608.3491202090345","4608.3491202090345","4608.3491202090345","3004.3526356251355","3004.3526356251355","3004.3526356251355","12259.192754327767","12259.192754327767","12259.192754327767"
"131","7808.133621742363","7808.133621742363","7808.133621742363","5471.540556511845","5471.540556511845","5471.540556511845","1786.0752511486871","1786.0752511486871","1786.0752511486871","12384.865768068647","12384.865768068647","12384.865768068647"
"133","7861.485450070755","7861.485450070755","7861.485450070755","5786.129722111516","5786.129722111516","5786.129722111516","2529.243115181492","2529.243115181492","2529.243115181492","11064.736479643456","11064.736479643456","11064.736479643456"
"135","10857.30114351779","10857.30114351779","10857.30114351779","5482.89785027896","5482.89785027896","5482.89785027896","2825.2387308845014","2825.2387308845014","2825.2387308845014","9935.958358855534","9935.958358855534","9935.958358855534"
"137","6618.093975721048","6618.093975721048","6618.093975721048","6888.394961565613","6888.394961565613","6888.394961565613","1017.6829889926455","1017.6829889926455","1017.6829889926455","9761.891681410945","9761.891681410945","9761.891681410945"
"139","9241.550181737988","9241.550181737988","9241.550181737988","5257.924751795274","5257.924751795274","5257.924751795274","2888.600568426457","2888.600568426457","2888.600568426457","16540.612207173905","16540.612207173905","16540.612207173905"
"141","9025.679801001626","9025.679801001626","9025.679801001626","4775.098389964995","4775.098389964995","4775.098389964995","2863.4423526754854","2863.4423526754854","2863.4423526754854","14224.416421139134","14224.416421139134","14224.416421139134"
"143","8966.126194397913","8966.126194397913","8966.126194397913","4245.248859645959","4245.248859645959","4245.248859645959","4268.829546308728","4268.829546308728","4268.829546308728","15557.406898108391","15557.406898108391","15557.406898108391"
"145","10028.101061408743","10028.101061408743","10028.101061408743","5552.323580107171","5552.323580107171","5552.323580107171","2808.1673787933214","2808.1673787933214","2808.1673787933214","11438.674303649952","11438.674303649952","11438.674303649952"
"147","7074.408424905783","7074.408424905783","7074.408424905783","6121.741342765023","6121.741342765023","6121.741342765023","3364.821166774692","3364.821166774692","3364.821166774692","11223.055573850055","11223.055573850055","11223.055573850055"
"149","9013.724115123197","9013.724115123197","9013.724115123197","8267.0640900535","8267.0640900535","8267.0640900535","1818.781089844712","1818.781089844712","1818.781089844712","9362.313269470682","9362.313269470682","9362.313269470682"
